# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	10596
#@/user_id	fwar34_sync
a 	啊	c=7 d=0.803193 t=10596
zhe dou 	這都	c=0 d=5.03217e-11 t=10596
zhe dou shi 	這都是	c=1 d=0.0153752 t=10596
zhe dou zai 	這都再	c=1 d=5.05739e-10 t=10596
zhe duan 	這段	c=1 d=0.0026189 t=10596
zhe ge 	這個	c=325 d=7.12649 t=10596
zhe ge tong bi jiao 	這個同比較	c=1 d=0.126818 t=10596
zhe hui 	這會	c=5 d=1.03371 t=10596
zhe kuai 	這塊	c=1 d=0.0103063 t=10596
zhe li 	這裏	c=2 d=0.543351 t=10596
zhe liang ge 	這兩個	c=3 d=0.065203 t=10596
zhe qing kuang 	着情況	c=1 d=0.0319048 t=10596
zhe shi hou 	這時候	c=2 d=0.433992 t=10596
zhe tai 	這臺	c=1 d=0.193013 t=10596
zhe xie 	這些	c=3 d=0.0172026 t=10596
zhe yang 	這樣	c=10 d=0.17328 t=10596
zhe yi duan 	這一段	c=1 d=0.216536 t=10596
zhe zhong 	這種	c=3 d=0.170741 t=10596
zhe zhou 	這周	c=1 d=0.00131358 t=10596
zhen kong 	真空	c=1 d=0.918512 t=10596
zheng 	正	c=1 d=8.46137e-06 t=10596
zheng chang 	整場	c=3 d=3.93628e-05 t=10596
zheng chang 	正常	c=14 d=1.49292 t=10596
zheng kan 	正看	c=3 d=0.752044 t=10596
zheng li 	整理	c=1 d=0.00782838 t=10596
zheng que 	正確	c=1 d=3.40706e-10 t=10596
zheng ti 	整體	c=1 d=0.000187825 t=10596
zheng zai 	正在	c=5 d=0.418503 t=10596
zhi 	只	c=14 d=0.281697 t=10596
zhi 	指	c=3 d=1.36545e-07 t=10596
zhi chi 	支持	c=11 d=0.798516 t=10596
zhi chi de 	支持的	c=1 d=0.00878245 t=10596
zhi chi ren 	支持人	c=2 d=0.402524 t=10596
zhi dao 	知道	c=10 d=1.24316 t=10596
zhi dao le 	知道了	c=0 d=0.0416862 t=10596
zhi de 	值得	c=0 d=0.0869358 t=10596
zhi de xue xi de 	值得學習的	c=1 d=0.873716 t=10596
zhi fu ze 	只負責	c=1 d=1.09191e-05 t=10596
zhi gai le 	只改了	c=1 d=0.00990218 t=10596
zhi hou 	之後	c=19 d=0.822835 t=10596
zhi hui tui 	只回退	c=1 d=0.0200405 t=10596
zhi jie 	直接	c=18 d=0.409386 t=10596
zhi jie fa 	直接發	c=1 d=4.70171e-05 t=10596
zhi nei 	之內	c=1 d=0.0256661 t=10596
zhi neng 	只能	c=2 d=0.260449 t=10596
zhi qian 	之前	c=8 d=0.517872 t=10596
zhi qie huan 	只切換	c=1 d=0.00390694 t=10596
zhi shi 	只是	c=7 d=0.101722 t=10596
zhi shou dao 	只收到	c=1 d=0.008271 t=10596
zhi ti shi 	只提示	c=1 d=0.140156 t=10596
zhi xin 	志新	c=3 d=0.022838 t=10596
zhi xing 	執行	c=2 d=0.222017 t=10596
zhi xu yao 	只需要	c=1 d=3.27291e-08 t=10596
zhi yao 	只要	c=8 d=0.16382 t=10596
zhi you 	只有	c=10 d=0.621678 t=10596
zhi zai 	只在	c=1 d=0.0043831 t=10596
zhong 	中	c=16 d=1.16573 t=10596
zhong 	種	c=4 d=0.750923 t=10596
zhong dian 	重點	c=2 d=0.00213348 t=10596
zhong jian 	中間	c=1 d=0.726149 t=10596
zhong tu 	中途	c=1 d=0.559898 t=10596
zhong wen 	中文	c=3 d=0.960789 t=10596
zhong wu 	中午	c=3 d=0.481909 t=10596
zhong xin 	中心	c=1 d=0.00030659 t=10596
zhong ya 	種牙	c=1 d=0.00129402 t=10596
zhong yao 	重要	c=3 d=0.66365 t=10596
zhou mo 	週末	c=1 d=0.100761 t=10596
zhou wu 	週五	c=4 d=0.265552 t=10596
zhu ban 	主板	c=1 d=0.00509243 t=10596
zhu chi ren 	主持人	c=72 d=4.26488 t=10596
zhu dong 	主動	c=4 d=0.467666 t=10596
zhu jiang 	主講	c=0 d=0.00987662 t=10596
zhu jiang ren 	主講人	c=1 d=0.0992613 t=10596
zhu liu 	主流	c=1 d=0.0105145 t=10596
zhu shi 	註釋	c=1 d=0.0632918 t=10596
zhu ti 	主題	c=1 d=0.126186 t=10596
zhu yao 	主要	c=9 d=0.0239236 t=10596
zhuan 	轉	c=1 d=1.01843e-09 t=10596
zhuan cheng 	轉成	c=1 d=0.00486835 t=10596
zhuan fa 	轉發	c=1 d=1.09738e-05 t=10596
zhuan gei 	轉給	c=6 d=0.0495448 t=10596
zhuan gei wo 	轉給我	c=1 d=0.25284 t=10596
zhuan huan 	轉換	c=3 d=0.0227146 t=10596
zhuan men 	專門	c=3 d=1.37339e-06 t=10596
zhuang le 	裝了	c=1 d=0.375311 t=10596
zhuang tai 	狀態	c=63 d=3.02292 t=10596
zhuang xia 	裝下	c=1 d=0.384812 t=10596
zhun que 	準確	c=1 d=0.193013 t=10596
zi 	字	c=1 d=0.0148464 t=10596
zi dong 	自動	c=1 d=9.75974e-09 t=10596
zi duan 	字段	c=5 d=0.810584 t=10596
zi fu chuan 	字符串	c=10 d=2.08494e-08 t=10596
zi ji 	自己	c=18 d=0.595151 t=10596
zi mu lu 	子目錄	c=1 d=1.09228e-09 t=10596
zi ti 	字體	c=2 d=0.000988547 t=10596
zi wo 	自我	c=18 d=1.42854 t=10596
zi xi tong 	子系統	c=1 d=0.00458484 t=10596
zong 	總	c=1 d=0.00491728 t=10596
zong jie 	總結	c=2 d=0.00494934 t=10596
zou 	走	c=5 d=0.323892 t=10596
zou bu dao 	走不到	c=1 d=0.540641 t=10596
zou lang 	走廊	c=5 d=0.538793 t=10596
zou lang mo shi 	走廊模式	c=1 d=0.268474 t=10596
zou le 	走了	c=1 d=2.06045e-05 t=10596
zu 	組	c=1 d=0.00136719 t=10596
zui 	最	c=0 d=0.196531 t=10596
zui di xia 	最地下	c=1 d=0.985112 t=10596
zui di xia 	最底下	c=1 d=0.99005 t=10596
zui hao 	最好	c=4 d=0.158498 t=10596
zui hou 	最後	c=8 d=0.873474 t=10596
zui kai shi 	最開始	c=1 d=0.718924 t=10596
zui qing chu 	最清楚	c=1 d=0.110251 t=10596
zui xin 	最新	c=5 d=0.354753 t=10596
zui xin de 	最新的	c=1 d=4.53058e-10 t=10596
zuo 	做	c=2 d=0.00392653 t=10596
zuo ge 	做個	c=1 d=1.91652e-06 t=10596
zuo guo 	做過	c=0 d=0.0744532 t=10596
zuo jiu 	做就	c=1 d=0.148823 t=10596
zuo sha 	做啥	c=1 d=0.121238 t=10596
zuo tian 	昨天	c=16 d=2.08725 t=10596
zuo xia 	做下	c=1 d=0.017249 t=10596
zuo yong 	作用	c=2 d=0.835504 t=10596
zuo you 	左右	c=4 d=0.955997 t=10596
